,Time (s),Time (d),Time (y),Residual
0,0.0,0.0,0.0,30.135803733543703
1,86.64643962204914,0.0010028523104403835,2.747540576548996e-06,30.117088592751024
2,173.2928792440983,0.002005704620880767,5.495081153097992e-06,30.096698663769974
3,259.93931886614746,0.003008556931321151,8.24262172964699e-06,30.075848770776417
4,346.5857584881966,0.004011409241761534,1.0990162306195984e-05,30.054898258887288
5,433.2321981102457,0.005014261552201918,1.373770288274498e-05,30.034036234059506
6,519.8786377322948,0.006017113862642301,1.6485243459293977e-05,30.01335036920742
7,606.5250773543439,0.007019966173082684,1.923278403584297e-05,29.992884144777857
8,693.171516976393,0.008022818483523068,2.1980324612391966e-05,29.972656145424246
9,779.8179565984422,0.00902567079396345,2.472786518894096e-05,29.95267212410978
10,866.4643962204913,0.010028523104403834,2.7475405765489958e-05,29.932930726469433
11,953.1108358425404,0.011031375414844218,3.0222946342038952e-05,29.91342691838085
12,1039.7572754645896,0.012034227725284601,3.2970486918587953e-05,29.894153820730033
13,1126.4037150866388,0.013037080035724987,3.571802749513695e-05,29.87510379321639
14,1213.050154708688,0.01403993234616537,3.846556807168595e-05,29.8562690334285
15,1299.6965943307373,0.015042784656605756,4.121310864823495e-05,29.83764191769366
16,1386.3430339527865,0.01604563696704614,4.3960649224783945e-05,29.81921517973911
17,1472.9894735748358,0.017048489277486523,4.670818980133294e-05,29.800981998082257
18,1559.635913196885,0.01805134158792691,4.945573037788195e-05,29.782936027433067
19,1646.2823528189342,0.019054193898367294,5.2203270954430945e-05,29.765071398452108
20,1732.9287924409834,0.020057046208807678,5.495081153097994e-05,29.74738269911174
21,1819.5752320630327,0.02105989851924806,5.769835210752894e-05,29.72986494644828
22,1906.221671685082,0.02206275082968845,6.044589268407794e-05,29.712513553701285
23,1992.8681113071311,0.023065603140128833,6.319343326062694e-05,29.695324296036162
24,2079.51455092918,0.024068455450569213,6.594097383717593e-05,29.678293276665176
25,2166.160990551229,0.025071307761009597,6.868851441372492e-05,29.661416894455773
26,2252.807430173278,0.026074160071449977,7.143605499027392e-05,29.6446918135931
27,2339.453869795327,0.02707701238189036,7.41835955668229e-05,29.628114935573933
28,2426.100309417376,0.02807986469233074,7.69311361433719e-05,29.61168337361166
29,2512.746749039425,0.029082717002771125,7.967867671992088e-05,29.595394429421447
30,2599.393188661474,0.030085569313211505,8.242621729646988e-05,29.579245572284805
31,2686.039628283523,0.03108842162365189,8.517375787301888e-05,29.56323442025641
32,2772.686067905572,0.03209127393409227,8.792129844956786e-05,29.54735872335703
33,2859.332507527621,0.03309412624453265,9.066883902611686e-05,29.5316163485904
34,2945.97894714967,0.03409697855497303,9.341637960266584e-05,29.51600526662318
35,3032.625386771719,0.03509983086541341,9.616392017921484e-05,29.500523539972885
36,3119.271826393768,0.0361026831758538,9.891146075576383e-05,29.485169312557236
37,3205.918266015817,0.03710553548629418,0.00010165900133231282,29.469940800468123
38,3292.564705637866,0.03810838779673456,0.00010440654190886181,29.454836283844013
39,3379.211145259915,0.03911124010717494,0.0001071540824854108,29.43985409972474
40,3465.857584881964,0.04011409241761533,0.00010990162306195979,29.424992635783312
41,3552.504024504013,0.04111694472805571,0.00011264916363850879,29.410250324838465
42,3639.150464126062,0.04211979703849609,0.00011539670421505779,29.39562564006146
43,3725.796903748111,0.04312264934893647,0.00011814424479160677,29.381117090798586
44,3812.44334337016,0.044125501659376856,0.00012089178536815577,29.36672321893904
45,3899.089782992209,0.045128353969817236,0.00012363932594470475,29.3524425957648
46,3985.736222614258,0.04613120628025762,0.00012638686652125374,29.338273819225865
47,4072.382662236307,0.047134058590698,0.00012913440709780275,29.32421551159011
48,4159.029101858357,0.048136910901138384,0.00013188194767435173,29.310266317422396
49,4245.675541480406,0.04913976321157877,0.00013462948825090074,29.29642490185259
50,4332.321981102455,0.05014261552201915,0.00013737702882744973,29.282689949096465
51,4418.968420724504,0.05114546783245953,0.0001401245694039987,29.26906016119755
52,4505.614860346553,0.05214832014289991,0.00014287210998054772,29.255534256961404
53,4592.261299968602,0.0531511724533403,0.0001456196505570967,29.24211097105724
54,4678.907739590651,0.05415402476378068,0.0001483671911336457,29.22878905326454
55,4765.5541792127,0.05515687707422106,0.00015111473171019468,29.21556726784485
56,4852.200618834749,0.05615972938466144,0.0001538622722867437,29.20244439302154
57,4938.847058456798,0.05716258169510183,0.00015660981286329267,29.189419220551954
58,5025.493498078847,0.05816543400554221,0.00015935735343984166,29.17649055537856
59,5112.139937700896,0.05916828631598259,0.00016210489401639064,29.16365721534723
60,5198.786377322945,0.06017113862642297,0.00016485243459293965,29.150918030982176
61,5285.432816944994,0.061173990936863355,0.00016759997516948864,29.13827184530848
62,5372.079256567043,0.062176843247303736,0.00017034751574603762,29.12571751371422
63,5458.725696189092,0.06317969555774412,0.00017309505632258663,29.11325390384531
64,5545.372135811141,0.0641825478681845,0.00017584259689913562,29.100879895526955
65,5632.01857543319,0.06518540017862488,0.0001785901374756846,29.088594380706496
66,5718.665015055239,0.06618825248906526,0.00018133767805223358,29.076396263413297
67,5805.311454677288,0.06719110479950564,0.0001840852186287826,29.064284459731482
68,5891.957894299337,0.06819395710994602,0.00018683275920533158,29.05225789778247
69,5978.604333921386,0.0691968094203864,0.00018958029978188056,29.040315517714294
70,6065.250773543435,0.07019966173082678,0.00019232784035842955,29.028456271695358
71,6151.897213165484,0.07120251404126718,0.00019507538093497856,29.01667912391056
72,6238.543652787533,0.07220536635170756,0.00019782292151152754,29.00498305055809
73,6325.190092409582,0.07320821866214794,0.00020057046208807653,28.993367039845406
